series_id,time_idx,prediction,store_nbr,family,ds
1_GROCERY_I,0,0.3785427,1,GROCERY_I,2015-08-17
1_GROCERY_I,1,0.47624,1,GROCERY_I,2015-08-18
1_GROCERY_I,2,0.79515064,1,GROCERY_I,2015-08-19
1_GROCERY_I,3,1.6969119,1,GROCERY_I,2015-08-20
1_GROCERY_I,4,2.8230376,1,GROCERY_I,2015-08-21
1_GROCERY_I,5,0.8245148,1,GROCERY_I,2015-08-22
1_GROCERY_I,6,0.8644705,1,GROCERY_I,2015-08-23
1_GROCERY_I,7,0.9053854,1,GROCERY_I,2015-08-24
1_GROCERY_I,8,0.99113727,1,GROCERY_I,2015-08-25
1_GROCERY_I,9,1.282842,1,GROCERY_I,2015-08-26
1_GROCERY_I,10,2.0339391,1,GROCERY_I,2015-08-27
1_GROCERY_I,11,2.9978442,1,GROCERY_I,2015-08-28
1_GROCERY_I,12,0.9043691,1,GROCERY_I,2015-08-29
1_GROCERY_I,13,0.83289564,1,GROCERY_I,2015-08-30
1_GROCERY_I,14,0.83228576,1,GROCERY_I,2015-08-31
1_GROCERY_I,15,0.8969113,1,GROCERY_I,2015-09-01
1_GROCERY_I,16,1.207712,1,GROCERY_I,2015-09-02
1_GROCERY_I,17,2.081692,1,GROCERY_I,2015-09-03
1_GROCERY_I,18,3.2653203,1,GROCERY_I,2015-09-04
1_GROCERY_I,19,0.958127,1,GROCERY_I,2015-09-05
1_GROCERY_I,20,0.91339725,1,GROCERY_I,2015-09-06
1_GROCERY_I,21,0.8854423,1,GROCERY_I,2015-09-07
1_GROCERY_I,22,1.136995,1,GROCERY_I,2015-09-08
1_GROCERY_I,23,1.7004956,1,GROCERY_I,2015-09-09
1_GROCERY_I,24,2.162151,1,GROCERY_I,2015-09-10
1_GROCERY_I,25,2.9352174,1,GROCERY_I,2015-09-11
1_GROCERY_I,26,0.79690903,1,GROCERY_I,2015-09-12
1_GROCERY_I,27,0.71867216,1,GROCERY_I,2015-09-13
1_GROCERY_I,28,33.980663,1,GROCERY_I,2015-09-14
1_GROCERY_I,29,28.723629,1,GROCERY_I,2015-09-15
1_GROCERY_I,30,29.231747,1,GROCERY_I,2015-09-16
1_GROCERY_I,31,47.088505,1,GROCERY_I,2015-09-17
1_GROCERY_I,32,58.160988,1,GROCERY_I,2015-09-18
1_GROCERY_I,33,42.21599,1,GROCERY_I,2015-09-19
1_GROCERY_I,34,34.04934,1,GROCERY_I,2015-09-20
1_GROCERY_I,35,28.394138,1,GROCERY_I,2015-09-21
1_GROCERY_I,36,25.305273,1,GROCERY_I,2015-09-22
