epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,84.02952575683594,,,,,
0,,99,,68.73029327392578,,,,,
0,,149,,89.32830810546875,,,,,
0,,199,,68.85332489013672,,,,,
0,,249,,71.7863540649414,,,,,
0,,299,,108.91656494140625,,,,,
0,,349,,71.33586120605469,,,,,
0,,399,,72.96709442138672,,,,,
0,,449,,65.88323211669922,,,,,
0,,479,,,139.9487762451172,1472452.375,465.60919189453125,0.4006005525588989,92.5798110961914
0,,479,84.84797668457031,,,,,,
,0.001,480,,,,,,,
1,,499,,75.8897705078125,,,,,
1,,549,,81.58072662353516,,,,,
1,,599,,61.287635803222656,,,,,
1,,649,,62.59488296508789,,,,,
1,,699,,69.46876525878906,,,,,
1,,749,,59.137332916259766,,,,,
1,,799,,65.27081298828125,,,,,
1,,849,,68.68163299560547,,,,,
1,,899,,83.90106201171875,,,,,
1,,949,,63.66115951538086,,,,,
1,,959,,,151.54025268554688,1911104.75,517.3758544921875,0.39510995149612427,99.23910522460938
1,,959,65.37174987792969,,,,,,
,0.001,960,,,,,,,
2,,999,,54.631629943847656,,,,,
2,,1049,,50.433616638183594,,,,,
2,,1099,,37.27214431762695,,,,,
2,,1149,,50.33597183227539,,,,,
2,,1199,,58.36850357055664,,,,,
2,,1249,,43.65357208251953,,,,,
2,,1299,,42.83223342895508,,,,,
2,,1349,,60.51211166381836,,,,,
2,,1399,,57.09256362915039,,,,,
2,,1439,,,158.1924285888672,2305811.5,551.2818603515625,0.3921152949333191,106.41426086425781
2,,1439,58.16068649291992,,,,,,
,0.001,1440,,,,,,,
3,,1449,,58.954498291015625,,,,,
3,,1499,,64.6249771118164,,,,,
3,,1549,,43.33104705810547,,,,,
3,,1599,,67.60140228271484,,,,,
3,,1649,,53.80495071411133,,,,,
3,,1699,,48.569976806640625,,,,,
3,,1749,,57.531314849853516,,,,,
3,,1799,,56.49925994873047,,,,,
3,,1849,,54.07175827026367,,,,,
3,,1899,,55.82744598388672,,,,,
3,,1919,,,149.72927856445312,1733656.5,519.3809814453125,0.3933549225330353,103.05943298339844
3,,1919,54.33966827392578,,,,,,
