epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,84.02952575683594,,,,,
0,,99,,68.73029327392578,,,,,
0,,149,,89.32830810546875,,,,,
0,,199,,68.85332489013672,,,,,
0,,249,,71.7863540649414,,,,,
0,,299,,108.91656494140625,,,,,
0,,349,,71.33586120605469,,,,,
0,,399,,72.96709442138672,,,,,
0,,449,,65.88323211669922,,,,,
0,,479,,,139.9487762451172,1472452.375,465.60919189453125,0.4006005525588989,92.5798110961914
0,,479,84.84797668457031,,,,,,
,0.001,480,,,,,,,
1,,499,,75.8897705078125,,,,,
1,,549,,81.58072662353516,,,,,
1,,599,,61.287635803222656,,,,,
1,,649,,62.59488296508789,,,,,
1,,699,,69.46876525878906,,,,,
1,,749,,59.137332916259766,,,,,
