epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,84.83929443359375,,,,,
0,,99,,68.96958923339844,,,,,
0,,149,,91.56928253173828,,,,,
0,,199,,68.48121643066406,,,,,
0,,249,,73.32090759277344,,,,,
0,,299,,109.50333404541016,,,,,
0,,349,,72.91920471191406,,,,,
0,,399,,74.26349639892578,,,,,
0,,449,,67.41131591796875,,,,,
0,,479,,,145.17971801757812,1965928.375,488.7469177246094,0.39664068818092346,95.67840576171875
0,,479,85.3619155883789,,,,,,
,0.001,480,,,,,,,
1,,499,,85.20848846435547,,,,,
1,,549,,84.78038024902344,,,,,
1,,599,,78.27864074707031,,,,,
1,,649,,73.04825592041016,,,,,
1,,699,,61.868080139160156,,,,,
1,,749,,81.4276123046875,,,,,
1,,799,,57.55328369140625,,,,,
1,,849,,53.26689529418945,,,,,
1,,899,,47.82334518432617,,,,,
1,,949,,59.312744140625,,,,,
1,,959,,,138.9161376953125,2608339.5,454.0440979003906,0.3727529048919678,93.87537384033203
1,,959,65.28706359863281,,,,,,
,0.001,960,,,,,,,
2,,999,,66.6378402709961,,,,,
2,,1049,,62.418121337890625,,,,,
2,,1099,,75.14463806152344,,,,,
2,,1149,,67.84076690673828,,,,,
2,,1199,,58.89314651489258,,,,,
2,,1249,,62.25455093383789,,,,,
2,,1299,,51.22146224975586,,,,,
2,,1349,,56.13490676879883,,,,,
2,,1399,,52.55261993408203,,,,,
2,,1439,,,138.86773681640625,922518.1875,462.3887634277344,0.4107482433319092,96.6253890991211
2,,1439,58.564186096191406,,,,,,
,0.001,1440,,,,,,,
3,,1449,,54.65436553955078,,,,,
3,,1499,,54.89255142211914,,,,,
3,,1549,,61.59292984008789,,,,,
3,,1599,,58.68060302734375,,,,,
3,,1649,,56.07108688354492,,,,,
3,,1699,,49.89673614501953,,,,,
3,,1749,,48.93313217163086,,,,,
3,,1799,,52.38602828979492,,,,,
3,,1849,,52.128353118896484,,,,,
3,,1899,,48.676570892333984,,,,,
3,,1919,,,147.75799560546875,1344610.5,496.77789306640625,0.389210045337677,102.05511474609375
3,,1919,54.96137237548828,,,,,,
,0.001,1920,,,,,,,
4,,1949,,32.302555084228516,,,,,
4,,1999,,50.647762298583984,,,,,
4,,2049,,63.37429428100586,,,,,
4,,2099,,46.27197265625,,,,,
